year,ceremony,category,nominee,film,won
2010,Cóndor de Plata,Best Title,Marcelo Piñeyro,Las viudas de los jueves,0
2010,Cóndor de Plata,Best Feature,Celina Murga,Una semana solos,0
2009,Cóndor de Plata,Best Feature,Leonardo Favio,Aniceto,1
2009,Cóndor de Plata,Best Feature,Daniel Burman,El nido vacío,0
2009,Cóndor de Plata,Best Feature,María Victoria Menis,La cámara oscura,0
2009,Cóndor de Plata,Best Motion picture,Pablo Trapero,Leonera,0
2009,Cóndor de Plata,Best Motion picture,Paula Hernández,Lluvia,0
2008,Cóndor de Plata,Best Feature,Lucía Puenzo,XXY,1
2008,Cóndor de Plata,Best Movie,Ariel Rotter,El otro,0
2008,Cóndor de Plata,Best Feature,Esteban Sapir,La antena,0
2008,Cóndor de Plata,Best Title,Martín Hodara y Ricardo Darín,La señal,0
2008,Cóndor de Plata,Best Movie,Ana Katz,Una novia errante,0
2007,Cóndor de Plata,Best Movie,Adrián Caetano,Crónica de una fuga,1
2007,Cóndor de Plata,Best Motion picture,Daniel Burman,Derecho de familia,0
2007,Cóndor de Plata,Best Movie,Marcelo Piñeyro,El Método,0
2007,Cóndor de Plata,Best Title,Alejandro Doria,Las Manos,0
2007,Cóndor de Plata,Best Motion picture,Pablo Trapero,Nacido y criado,0
2006,Cóndor de Plata,Best Movie,Fabián Bielinsky,El aura,1
2006,Cóndor de Plata,Best Feature,Inés de Oliveira Cézar,Cómo pasan las horas,0
2006,Cóndor de Plata,Best Movie,Marcos Carnevale,Elsa y Fred,0
2006,Cóndor de Plata,Best Title,Tristán Bauer,Iluminados por el fuego,0
2006,Cóndor de Plata,Best Movie,Damián Szifron,Tiempo de valientes,0
2005,Cóndor de Plata,Best Feature,Adolfo Aristarain,Roma,1
2005,Cóndor de Plata,Best Movie,Carlos Sorín,Bombón: El Perro,0
2005,Cóndor de Plata,Best Feature,Walter Salles,Diarios de motocicleta,0
2005,Cóndor de Plata,Best Motion picture,Daniel Burman,El abrazo partido,0
2005,Cóndor de Plata,Best Movie,Juan José Campanella,Luna de Avellaneda,0
2004,Cóndor de Plata,Best Title,Alejandro Agresti,Valentín,1
2004,Cóndor de Plata,Best Feature,Juan Carlos Desanzo,El Polaquito,0
2004,Cóndor de Plata,Best Title,Damián Szifron,El fondo del mar,0
2004,Cóndor de Plata,Best Movie,Luis César D'Angiolillo,Potestad,0
2004,Cóndor de Plata,Best Feature,Eduardo Mignogna,Cleopatra,0
2003,Cóndor de Plata,Best Motion picture,Carlos Sorín,Historias mínimas,1
2003,Cóndor de Plata,Best Movie,Adrián Caetano,Bolivia,0
2003,Cóndor de Plata,Best Motion picture,Pablo Trapero,El bonaerense,0
2003,Cóndor de Plata,Best Feature,Adolfo Aristarain,Lugares comunes,0
2003,Cóndor de Plata,Best Motion picture,Adrián Caetano,Un oso rojo,0
2002,Cóndor de Plata,Best Movie,Juan José Campanella,El hijo de la novia,1
2002,Cóndor de Plata,Best Title,Juan Carlos Desanzo,El amor y el espanto,0
2002,Cóndor de Plata,Best Title,Lucrecia Martel,La Ciénaga,0
2002,Cóndor de Plata,Best Feature,Eduardo Mignogna,La fuga,0
2002,Cóndor de Plata,Best Motion picture,Gabriela David,"Taxi, un encuentro",0
2001,Cóndor de Plata,Best Feature,Fabián Bielinsky,Nueve reinas,1
2001,Cóndor de Plata,Best Feature,Flavio Nardini y Cristian Bernard,76 89 03,0
2001,Cóndor de Plata,Best Feature,Daniel Burman,Esperando al Mesías,0
2001,Cóndor de Plata,Best Feature,Lucho Bender,Felicidades,0
2001,Cóndor de Plata,Best Movie,Alberto Lecchi,Nueces para el amor,0
