year,ceremony,category,nominee,film,country,winner,source_url
1985,Berlin IFF 1985,Silver Bear Best Actress,Jo Kennedy,Wrong World,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1985,Berlin IFF 1985,Silver Bear Best Director,Robert Benton,Places in the Heart,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1985,Berlin IFF 1985,Silver Bear Grand Jury Prize,László Lugossy,Flowers of Reverie,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1986,Berlin IFF 1986,Golden Bear,,Stammheim,,1,https://en.wikipedia.org/wiki/Golden_Bear
1986,Berlin IFF 1986,Silver Bear Best Actor,Tuncel Kurtiz,The Smile of the Lamb,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1986,Berlin IFF 1986,Silver Bear Best Actress,Marcélia Cartaxo,Hour of the Star,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1986,Berlin IFF 1986,Silver Bear Best Actress,Nadia,Red Kiss,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1986,Berlin IFF 1986,Silver Bear Best Director,Giorgi Shengelaya,The Journey of a Young Composer,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1986,Berlin IFF 1986,Silver Bear Grand Jury Prize,Nanni Moretti,The Mass Is Ended,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1987,Berlin IFF 1987,Golden Bear,,The Theme,,1,https://en.wikipedia.org/wiki/Golden_Bear
1987,Berlin IFF 1987,Silver Bear Best Actor,Gian Maria Volonté,The Moro Affair,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1987,Berlin IFF 1987,Silver Bear Best Actress,Ana Beatriz Nogueira,Vera,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1987,Berlin IFF 1987,Silver Bear Best Director,Oliver Stone,Platoon,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1987,Berlin IFF 1987,Silver Bear Grand Jury Prize,Kei Kumai,The Sea and Poison,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1988,Berlin IFF 1988,Golden Bear,,Red Sorghum,,1,https://en.wikipedia.org/wiki/Golden_Bear
1988,Berlin IFF 1988,Silver Bear Best Actor,Josef Heiliger,Josef Heiliger,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1988,Berlin IFF 1988,Silver Bear Best Actor,Manfred Möck,Bear Ye One Another's Burden,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1988,Berlin IFF 1988,Silver Bear Best Actress,Holly Hunter,Broadcast News,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1988,Berlin IFF 1988,Silver Bear Best Director,Norman Jewison,Moonstruck,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1988,Berlin IFF 1988,Silver Bear Grand Jury Prize,Alexander Askoldow,Commissar,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1989,Berlin IFF 1989,Golden Bear,,Rain Man,,1,https://en.wikipedia.org/wiki/Golden_Bear
