year,ceremony,category,nominee,film,winner,source_url
2014,2nd Africa Magic Viewers' Choice Awards,Best Actor in a Drama,Majid Michel,Somewhere in Africa,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actor in a Drama,Majid Michel,House of Gold,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actress in a Comedy,Funke Akindele,Return Of Sheri Koko,1,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actress in a Comedy,Funke Akindele,The Fighter,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actress in a Comedy,Funke Akindele,The Hero,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actress in a Comedy,Jackie Appiah,Cheaters,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actress in a Comedy,Mary Ogbonna,Clinic Matters,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actress in a Comedy,Yvonne Okoro,Contract,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actress in a Drama,Nse Ikpe Etim,Journey to Self,1,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actress in a Drama,Ivie Okujaye,The Volunteers,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actress in a Drama,Nkiru Sylvanus,Kiss And The Brides,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actress in a Drama,Stephanie Wilson,Living Funeral,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actress in a Drama,Veronica Waceke,Higher Learning,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Art Director,Barbara Minishi,Nairobi Half Life,1,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Art Director,Frank Rajah Arase,The Price,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Art Director,Ken Attoh /Shirley Frimpong-Manso,Contract,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Art Director,Kyle Quint,Siri ya Mtungi,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
